Team,Conference,2PA,3PA,TOV,FTD,RAA,PZA,MRA,COA,ABA,2SFD,3SFD,NSFD,RAP,PZP,MRP,COP,ABP,FTP,PACE,DEEPA,DEEPP,2PAnd1,3PAnd1,ORAP,OPZP,OMRP,OCOP,OABP,ORB,DRB
HOU,West,4495,2964,1045,1032,2307,1376,813,535,2400,865,14,153,64,41.6,41.2,39.4,34.6,77.3,99.59,69,15.9,213,3,65.9,44.8,43,36.9,34.3,11.5,34
IND,East,4708,2891,1059,940,2448,1473,788,712,2167,803,11,126,68.5,47.3,50.5,40.9,36.5,78.2,102.16,73,26,244,2,65.3,47.7,44.3,39.8,35.8,10.1,31.4
LAC,West,4389,2719,1078,951,2030,1465,894,720,1990,742,63,146,67,48.2,41.4,41,37.2,82.5,97.93,34,8.8,176,12,67.4,41.1,42.3,37.3,36.1,10,32.9
LAL,West,4605,2572,1146,1069,2333,1418,855,685,1871,861,26,182,72.4,41.8,38.6,38.7,37.6,78.2,101.38,78,30.8,238,4,68.1,41.9,42.3,39.6,37.2,8.2,34.9
MEM,West,4132,3097,1236,915,2089,1526,516,797,2280,722,29,164,60.6,40.8,36.2,34.9,34.8,76.4,98.68,72,16.7,158,5,63.5,42.7,42.9,41.2,37,10.9,31.7
MIA,East,4257,2765,1038,949,1751,1695,813,824,1927,761,32,156,63.4,48.6,38,39.3,36.2,81.8,96.88,41,12.2,162,9,67.5,47.3,43.3,37.7,34.6,9.3,33
MIL,East,4136,3122,1059,1036,2084,1072,980,831,2281,790,49,197,70.8,42.8,45,41.2,36,77.4,100.51,110,30,194,9,66,46.2,42.3,36.8,35.5,9.4,34.8
MIN,West,4293,2681,1162,1030,2130,1487,676,786,1878,829,13,188,67.5,43.3,39.1,40.8,38.1,77.7,97.79,36,13.9,215,3,63.2,41.2,39.8,38.6,34.6,9.4,34.2
NOP,West,4492,2673,1067,1000,2190,1498,803,735,1917,838,28,134,65.9,44.1,44.5,42.6,37,77.1,98.7,67,22.4,183,6,67.9,43.3,41,37.9,34,10.4,33.6
NYK,East,4336,2936,1085,959,2107,1472,756,836,2093,776,38,145,63.1,45.9,39.2,40.7,35.5,78,95.96,31,29,215,9,63.5,43.5,41.8,39.7,35.5,12.7,32.5
OKC,West,4519,2805,1039,954,2196,1432,891,723,2077,791,16,147,67.5,46.8,46,41.4,38.1,82.5,100.85,25,20,196,2,62.1,43.6,39.7,36.9,36,8.8,33.2
ORL,East,4396,2568,1206,1072,2389,1230,777,700,1851,878,17,177,67.2,42.1,37.6,36.7,34.9,75.9,97.37,60,8.3,204,4,65.8,44.8,42.9,36.5,35.9,10.5,31.8
PHI,East,4598,2733,984,1047,2296,1466,836,620,2105,886,19,142,63.1,42,41.6,39.7,35.4,82.6,98.17,59,22,229,4,66.7,39.8,40,38.4,34.7,11,31.9
PHX,West,4392,2671,1221,1015,1892,1366,1134,688,1981,796,31,188,67.5,47.4,47.4,40.6,37.4,80.8,99,45,33.3,192,5,65.2,42.1,38.5,35.9,36.8,10.1,33.9
POR,West,4633,2723,1249,892,2249,1494,890,691,2020,744,25,123,60.4,37.7,41.2,36.6,34,79.1,97.88,68,25,166,6,70.5,45.9,42.1,40.3,33.6,12.6,30.1
SAC,West,4236,3219,1078,912,1919,1593,724,817,2394,758,17,137,68.7,48.2,39.9,38.6,36,74.5,99.46,38,13.2,183,2,66.5,45.4,41.9,40.4,38.2,10.8,33.2
SAS,West,4453,2983,1242,879,2285,1378,791,725,2241,733,34,112,66,43.5,37.2,37.8,34,78.2,101.8,41,14.6,180,8,65.9,44.5,43.7,37.6,37.5,10.4,33.9
TOR,East,4644,2712,1147,960,2335,1550,758,719,1983,803,16,141,67.5,41.2,40.6,37.7,33.9,75.6,99.91,53,20.8,214,1,69.3,44.8,40.7,40.2,37,10.9,31.8
UTA,West,4378,2993,1285,987,1998,1831,548,863,2114,779,41,167,68.7,44.4,35.8,38.9,34.3,83,100.26,43,14,193,9,67.4,45.7,42.2,45.2,37.9,12.2,33.2
WAS,East,4578,2915,1147,908,2338,1551,690,687,2211,769,21,118,69.7,39.9,37.7,38.4,33.9,76.4,103.07,133,21.1,222,9,71,42.8,44.7,40.3,35,9.2,31.9
